date,fill_time,temperature_c,side,model_prob,market_price,ev,kelly_frac,won,pnl_per_dollar,predicted_high,actual_max,winning_temp,resolution,stake,pnl,bankroll_after
2026-04-18,10:40,24,No,0.6999059522824473,0.59,0.1862812750549956,0.026806329824987166,True,0.6949152542372883,24.27,25.0,25,wunderground,22.43711302361067,15.591892101153181,826.4335876043082
2026-04-19,10:00,23,No,0.6923273530238369,0.61,0.13496287380956873,0.021109577698419712,True,0.639344262295082,23.06,24.0,24,wunderground,17.445664030116898,11.153785199582936,837.5873728038911
2026-04-21,11:00,19,No,0.7024009224766548,0.62,0.13290471367202383,0.0216844532833302,False,-1.0,19.31,19.0,19,wunderground,18.16262425627325,-18.16262425627325,835.693037627275
2026-04-21,12:00,20,No,0.7404213382016805,0.62,0.19422796484142024,0.031689825842547516,True,0.6129032258064517,19.31,19.0,19,wunderground,26.54299797207223,16.268289079657176,835.693037627275
2026-04-29,10:00,22,No,0.712660247207124,0.64,0.11353163626113116,0.020183402001978875,True,0.5625,22.44,23.0,23,wunderground,16.86712852868615,9.487759797385959,845.1807974246609
2026-05-08,12:30,22,No,0.7317192597111295,0.66,0.10866554501686276,0.021093899915038083,True,0.5151515151515151,21.38,20.0,20,wunderground,17.828159150987872,9.184203198993751,832.4385659450784
2026-05-08,10:00,21,No,0.7075284787520872,0.6,0.17921413125347874,0.026882119688021816,True,0.6666666666666667,21.38,20.0,20,wunderground,22.720251354387454,15.146834236258304,832.4385659450784
2026-05-08,12:20,20,No,0.8445041269359242,0.723,0.16805550060293806,0.043864305753041254,False,-1.0,21.38,20.0,20,wunderground,37.07326891483455,-37.07326891483455,832.4385659450784
2026-05-10,11:40,16,No,0.7391395264439593,0.64,0.15490551006868647,0.027538757345544253,False,-1.0,16.68,16.0,16,wunderground,22.92432367263435,-22.92432367263435,809.514242272444
2026-05-11,10:00,18,No,0.8769733128190997,0.74,0.18509907137716186,0.05268204339196145,True,0.3513513513513513,19.6,20.0,21,wunderground,42.646864437807686,14.984033451121618,840.3375104615062
2026-05-11,10:20,19,No,0.7293547029267957,0.61,0.19566344742097663,0.030603769981229673,True,0.639344262295082,19.6,20.0,21,wunderground,24.774187667035307,15.839234737940608,840.3375104615062
2026-05-14,10:00,17,No,0.6935209698682947,0.62,0.11858220946499154,0.01934762364955124,True,0.6129032258064517,16.88,18.0,18,wunderground,16.25853389101005,9.96490786868358,817.8116668725819
2026-05-14,10:00,18,No,0.8037245789578589,0.68,0.1819479102321453,0.03866393092433089,False,-1.0,16.88,18.0,18,wunderground,32.490751457607864,-32.490751457607864,817.8116668725819
2026-05-15,10:00,13,No,0.8581329892649388,0.738,0.16278182827227483,0.04585228597898426,False,-1.0,14.47,13.0,13,wunderground,37.49853442639144,-37.49853442639144,788.550204939384
2026-05-15,10:00,14,No,0.7154685832625809,0.65,0.10072089732704748,0.018705309503594537,True,0.5384615384615383,14.47,13.0,13,wunderground,15.297420344502196,8.237072493193489,788.550204939384
